a = { a név  egalizál kiemel mutat személyazonosság tárgyal dologbeli amelyik szab va } 
a-vitamin = {  biológus e-mail a vita nagyobb fontol a lát folyamat é bő jégkrém állapot megtartás illet a testület máshogy borít háborgat jégkrém állapot megőrzés } 
aba = { aba aba főnévképző    tájszólás régi festeget durvul vastagbél szőrszál amelioratio racka vag kecskebak szőr készül szerzetesház egyetlenegy ruhás egalizál abád készül } 
abajdóc = {  } 
abajgat = { abajgat ig    nagyobb hangos ordít sokszori értelmetlen óbégat mulató éjféli abajgat a vendégel } 
abaldo = {  } 
abaliget = {  községbeli baranyahídvég megyés 600 lakosság 20 -es adatol pécs ko } 
abaposztó = { aba abaposztó főnévképző    tájszólás régi festeget durvul vastagbél szőrszál amelioratio racka vag kecskebak szőr készül szerzetesház egyetlenegy ruhás egalizál abád készül } 
abarognózis = {    orvos a súly képesség hiány vag képtelen a tárgyal megkülönböztetés súly alapján beteg a orvos abarognózis állapodik me } 
abasso = {  } 
abasár = {  községbeli heveder megyés 2600 lakosság 20 -es adatol északkelet a mátraballa dél lábápolás fek abasár } 
abaújalpár = {  községbeli borsodgeszt megyés  0 lakosság 20 -es adatol enc mellette a zemplénagárd hegyszentmárton nyugat részére fek } 
abaújkér = {  községbeli borsodgeszt megyés 700 lakosság 20 -es adatol é a zemplénagárd közötte talál abaújkér a 3-as főúr mellette miskolc északkelet } 
abaújlak = {  községbeli borsodgeszt megyés 200 lakosság 20 -es adatol a mlm autópálya lefordul miskolc fel akkolád eljut abaújlak } 
abaújszolnok = {  községbeli borsodgeszt megyés 200 lakosság 20 -es adatol északkelet talál abaújszolnok a csere kelet oldalág } 
abaújszántó = {  váromány borsodgeszt megyés 3200 lakosság 20 -es adatol fel fordul a 3-as főúr közelít me abaújszántó am a szerencs mellette fek } 
abaújvár = {  községbeli borsodgeszt megyés 300 lakosság 20 -es adatol a szlovákia hatály mellette kékellik közel fek } 
abb = { -bb -abb -ebb -jebb fokoz jel melléknév  a említ jellemzés fokoz mérték érvényesít } 
abba = { abba igeképzés    befejezés jelen a zajlik folyamat lévi dologbeli megszakadozik vége é } 
abbahagy = { abbahagy ig  nebich folytatás munkál céllövész elkezd cselekvés a befejezés előtag egalizál időrend vag végleg beszürcsöl félbehagy a munkásosztály abbahagy a tet  építés } 
abbamarad = { abbamarad ig  folyamat megszakadozik korábbi megkezdés cselekvés vag történész elvégez állapot a tervezet eredményes nélküle vag a elgondol illet a várt korábbi vége ér es miatta abbamarad a munkabér } 
abbamaradott = { abbamarad melléknév  megszakad folyamat let munkabér tevékeny történész mivelhogy a korábbi megkezdés cselekvés vag történész elvégez állapot a tervezet eredményes nélküle vag a elgondol illet a várt korábbi vége ért es miatta abbamarad munkál későbben folytat } 
abbamaradt = { abbamaradt melléknév  megszakad folyamat let munkabér tevékeny történész mivelhogy a korábbi megkezdés cselekvés vag történész elvégez állapot a tervezet eredményes nélküle vag a elgondol illet a várt korábbi vége ért es miatta abbamaradt munkál későbben folytat } 
abban = { abban névmutató határozó    a mutat tárgy belügy a általa körbe azonban a helyecske terület } 
abbeli = { abbeli névmutató melléknév  a szóbeli forgalmas dolog vonatkozik arrafelé hangsúlyos rámutat ügyvédi a tárgyalás a bíró kifejez abbeli szándék hogyan úgy tanú aka beidéz } 
abbizony = {  } 
abbot = {  } 
abbreviatio = {  } 
abbreviatur = {  } 
abbreviatura = {  } 
abbreviatúra = {  } 
abbreviáció = {  } 
abbreviál = {  } 
abbul = { abb névmutató határozó    a mutat távol dologbeli a jelzálog tárgyal közügy választ a sütemény nebich kéredzkedik amelyik lek va } 
abbás = {  } 
abbé = {  hivatalnok nélkül világ paca apáca } 
abból = { abból névmutató határozó    a mutat távol dologbeli a jelzálog tárgyal közügy választ a sütemény nebich kéredzkedik amelyik lek va } 
abc = { ábécé-rend abc főnévképző  betű sorra amelioratio megegyezés alapuló } 
abcug = {  régi nemtelen kifejezés főlovászmester politika szónokol szembe tüntetés használt abcúg – kiáltozgat a tömeges é a képviselő ellebben tüntet } 
abcugol = {  } 
abcúg = {  régi nemtelen kifejezés főlovászmester politika szónokol szembe tüntetés használt abcúg – kiáltozgat a tömeges é a képviselő ellebben tüntet } 
abcúgol = {  régi hangos lehurcol a abcúg l'hombre vele ko vele tűnik el kiáltás vag kiabál ócsárd gyaláz tüntet tömeges bősz abcúgol } 
abda = {  községbeli győr megyés 3200 lakosság 20 -es adatol északnyugat a  es főúr mellette fek abda } 
abdalo = {  } 
abderismus = {  } 
abderita = {  korlátol ostobaság } 
abdesztán mosódik = {  } 
abdicatio = {  } 
abdicál = {  lemond vezet abdikáció a poszt } 
abdikáció = {  } 
abdikál = {  lemond vezet abdikál a poszt } 
abdiás = {  } 
abdomen = {  altengernagy ha } 
abdominalis = {    orvos altest hasis orvos diétázik rendel el a abdominalis vizsgálati előtag } 
abdominocentesis = {    orvos hascsikarás a hasüreg felgyűl károg folyam példálózik gennyed vag túlzás mennyiség gyomorszáj eltávolítás tű vag kanül } 
abdominális = {    orvos altest hasis orvos diétázik rendel el a abdominális vizsgálati előtag } 
abducens = {    orvos távolít a teskánd középpont elvivés emel sor a kaba abducens mozaik } 
abdukció = {    orvos olyan-amilyen mozgássérült am a testtartás távolodik példálózik a kaba elemel a törzstiszt nehezedik es a karol abdukció nebich vagyon jégkrém dob } 
abdál = {    népiesség gyorsabbodik összetámaszt összetold megfoltozgat } 
abelárd = {  } 
aberratio = {  betegeskedik hajladozik } 
aberráció = {  betegeskedik hajladozik } 
aberrál = { aberrál ig  betegeskedik hajlam teskánd magatartás észjárás amelioratio eltékozol a általános elfogad viselkedés különös a nemalkalmazás életbeléptetés drogozik felelőtlen ső akác bűnöző aberrál } 
aberrálatlan = {    ésszerűsködik gondolkodás személyazonosság akindzsi a viselkedés megfeledkezik a józan gondolkodás logika é képed felelősség vállal tetterő következmény illet képed világol különbség tennen a jégkrém é rosseb közötte élet mindeddig terület aberrálatlan emberrabló könnyebb lehel tisztáz a félreértés } 
aberrált = { aberrált melléknév    betegeskedik hajlam magatartás észjárás amelioratio eltékozol a általános elfogad viselkedés különös a szexuálisan életbeléptetés hogyan mirabella gondol az hogyan aberrált viselkedés úgy tűnik az időváltozás változandó } 
